Sheet,Subset,AC1,n_items,n_raters,Po,Pe,p_1,p_2,p_3
Correctness,All,0.258151,82,14,0.465425,0.279401,0.229965,0.599303,0.170732
Correctness,iTrust,0.192946,53,14,0.431682,0.295811,0.268194,0.551213,0.180593
Correctness,Dronology,0.378239,29,14,0.527094,0.239408,0.160099,0.687192,0.152709
Completeness,All,0.301148,82,14,0.493031,0.274569,0.191638,0.61324,0.195122
Completeness,iTrust,0.191063,53,14,0.432718,0.298732,0.243935,0.54717,0.208895
Completeness,Dronology,0.496793,29,14,0.603259,0.211574,0.096059,0.73399,0.169951
Understandability,All,0.439689,82,14,0.560574,0.215745,0.146341,0.729094,0.124564
Understandability,iTrust,0.425829,53,14,0.551939,0.219638,0.125337,0.722372,0.152291
Understandability,Dronology,0.466854,29,14,0.576355,0.205386,0.184729,0.741379,0.073892
Consistency,All,0.29319,82,14,0.486063,0.272878,0.119338,0.601916,0.278746
Consistency,iTrust,0.268158,53,14,0.473564,0.28067,0.125337,0.579515,0.295148
Consistency,Dronology,0.339436,29,14,0.508905,0.256552,0.108374,0.642857,0.248768
Executability,All,0.371371,82,14,0.527607,0.248533,0.244774,0.658537,0.09669
Executability,iTrust,0.300019,53,14,0.487456,0.267775,0.262803,0.617251,0.119946
Executability,Dronology,0.497002,29,14,0.600985,0.206727,0.211823,0.73399,0.054187
Overall Preference,All,0.539077,82,14,0.628652,0.194338,0.166376,0.760453,0.073171
Overall Preference,iTrust,0.449008,53,14,0.571014,0.221429,0.190027,0.715633,0.09434
Overall Preference,Dronology,0.69175,29,14,0.73399,0.137033,0.123153,0.842365,0.034483
